,Branch,Date,# Drops,# Partials,# Irregular Borrower,# Paid Off Yesterday,# Today Disbursed,# Today Paid Off,# Virtual New Borrower (Disbursed),# Returning Borrowers (Disbursed),# CGT Trainings,New Members (pending loans not yet approved),# Recognized Return Members (pending loans not yet approved),$ Portfolio Outstanding,Center #,Total # Active Members,# Active Members Present,# Active Members late,# Active Members Absent Excused,# Active Members Absent Unexcused,Reasons for Lateness or Absences
0,01 - Jackson Heights - Queens 1,2022-02-01,22,21,27,18,36,23,5,14,27,4,19,20,1,37,33,30,42,32,v
1,01 - Jackson Heights - Queens 1,2022-02-02,8,12,6,46,32,30,47,9,0,4,20,2,47,42,5,34,40,36,x
2,01 - Jackson Heights - Queens 1,2022-02-03,36,45,25,26,24,9,31,3,22,29,41,41,20,10,15,22,10,5,z
3,01 - Jackson Heights - Queens 1,2022-02-04,15,6,42,7,28,42,1,14,36,43,34,37,38,41,42,33,8,27,c
4,01 - Jackson Heights - Queens 1,2022-02-05,48,44,25,44,11,15,41,46,12,12,10,22,13,31,40,23,12,40,g
5,01 - Jackson Heights - Queens 1,2022-02-06,2,21,31,49,21,49,3,18,16,22,6,11,24,18,11,11,33,37,r
6,01 - Jackson Heights - Queens 1,2022-02-07,11,44,27,41,22,37,28,6,14,26,49,34,42,39,28,26,45,21,o
7,01 - Jackson Heights - Queens 1,2022-02-08,19,38,40,41,6,26,25,24,3,11,9,33,39,33,42,27,18,0,m
8,01 - Jackson Heights - Queens 1,2022-02-09,20,35,47,36,46,26,5,22,16,29,22,48,36,19,28,5,15,18,u
9,01 - Jackson Heights - Queens 1,2022-02-10,34,8,4,40,8,47,49,36,1,29,19,11,47,24,4,37,35,34,y
10,01 - Jackson Heights - Queens 1,2022-02-11,16,18,38,38,8,40,18,45,40,49,15,16,29,27,37,19,12,24,l
11,01 - Jackson Heights - Queens 1,2022-02-12,15,38,41,3,43,31,13,29,19,0,28,43,5,15,30,37,20,42,a
12,01 - Jackson Heights - Queens 1,2022-02-13,31,34,22,3,10,30,19,29,29,21,40,28,30,30,24,41,13,3,w
13,01 - Jackson Heights - Queens 1,2022-02-14,38,39,22,36,1,14,39,17,26,24,19,40,39,30,49,40,21,34,w
14,01 - Jackson Heights - Queens 1,2022-02-15,3,0,22,46,12,43,40,36,45,35,35,38,33,27,24,0,5,26,p
15,01 - Jackson Heights - Queens 1,2022-02-16,29,32,41,31,44,11,31,7,39,5,31,34,25,10,38,21,39,43,v
16,01 - Jackson Heights - Queens 1,2022-02-17,5,28,40,2,23,32,29,16,23,9,16,49,2,17,6,21,38,23,a
17,01 - Jackson Heights - Queens 1,2022-02-18,1,46,1,23,27,20,21,9,7,33,21,37,4,26,16,34,11,11,a
18,01 - Jackson Heights - Queens 1,2022-02-19,14,11,29,16,17,31,42,24,35,9,34,35,12,17,48,21,17,48,r
19,01 - Jackson Heights - Queens 1,2022-02-20,7,24,20,19,6,31,42,22,45,27,40,31,24,6,45,28,3,12,n
20,01 - Jackson Heights - Queens 1,2022-02-21,34,19,1,7,0,23,6,47,5,39,1,1,24,8,7,37,15,39,c
21,01 - Jackson Heights - Queens 1,2022-02-22,0,29,23,40,4,42,39,19,13,44,38,38,34,3,47,29,30,28,b
22,01 - Jackson Heights - Queens 1,2022-02-23,23,24,19,26,31,47,41,30,28,29,45,39,21,34,8,24,47,44,o
23,01 - Jackson Heights - Queens 1,2022-02-24,26,16,40,18,7,5,11,44,25,10,4,42,0,46,26,25,18,38,r
24,01 - Jackson Heights - Queens 1,2022-02-25,14,39,26,13,16,28,24,27,30,6,42,24,0,18,11,24,22,31,n
25,01 - Jackson Heights - Queens 1,2022-02-26,13,25,4,2,38,9,31,31,31,19,12,38,33,26,38,46,18,25,m
26,01 - Jackson Heights - Queens 1,2022-02-27,23,33,39,42,19,47,30,9,44,2,22,21,24,6,12,5,39,10,y
27,01 - Jackson Heights - Queens 1,2022-02-28,0,0,26,26,8,40,15,3,46,19,23,7,16,13,5,31,11,31,k
28,01 - Jackson Heights - Queens 1,2022-03-01,16,28,5,41,27,25,27,26,28,48,10,42,20,36,15,26,44,3,o
29,02 - Gates Avenue - Brooklyn 1,2022-02-01,22,21,27,18,36,23,5,14,27,4,19,20,1,37,33,30,42,32,v
30,02 - Gates Avenue - Brooklyn 1,2022-02-02,8,12,6,46,32,30,47,9,0,4,20,2,47,42,5,34,40,36,x
31,02 - Gates Avenue - Brooklyn 1,2022-02-03,36,45,25,26,24,9,31,3,22,29,41,41,20,10,15,22,10,5,z
32,02 - Gates Avenue - Brooklyn 1,2022-02-04,15,6,42,7,28,42,1,14,36,43,34,37,38,41,42,33,8,27,c
33,02 - Gates Avenue - Brooklyn 1,2022-02-05,48,44,25,44,11,15,41,46,12,12,10,22,13,31,40,23,12,40,g
